keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
CHAL_STAT_DESC,Reach {0} {1},Atteignez {0} {1},达到{0}{1},{0}{1} に達する,{0} {1}에 도달합니다,抵達{0}{1},Повысьте параметр «{1}» до {0}.,Osiągnij: {0} {1},Alcanza el {0} de {1},Alcance {0} de {1}.,Erreiche {0} {1}.,{1} özelliğini {0} seviyesine getir,Arriva a {0} {1}.
CHAL_FAST,Fast,Rapide,快速,高速,빠른,快速,Быстрота,Szybko,Velocidad,Agilidade,Schnell,Hızlı,Rapidità
CHAL_MEDICINE,Medicine,Médecine,药物,薬,약,藥物,Лекарство,Medycyna,Medicina,Medicina,Medizin,İlaç,Medicina
CHAL_MEDICINE_DESC,Heal {0} HP in one wave,Récupérez {0} PV durant une vague,在一次敌袭中恢复{0}生命值,1つの波でHPを {0} 回復する,한 웨이브에서 {0} HP를 치료합니다,在一次敵襲中治癒{0}HP,Восстановите {0} ОЗ за одну волну.,Odzyskaj {0} PZ w jednej fali,Recupera {0} PS en una oleada,Recupere {0} PV em uma onda.,Heile in einer Welle {0} LP.,Bir hücumda {0} Sağlık yenile,Recupera {0} PS in un'unica ondata.
CHAL_DYING,Dying,Mourant,濒死,倒れる,죽어감,快掛了,При смерти,Umierający,Muerte,Fim da vida,Todgeweiht,Ölmekte,Moribondo
CHAL_AGRICULTURE,Agriculture,Agriculture,农业,農業,농업,農業,Земледелие,Rolnik,Agricultura,Agricultura,Landwirtschaft,Tarım,Agricoltura
CHAL_ROOKIE,Rookie,Débutant,新手,新米,신참,菜鳥,Новобранец,Nowicjusz,Aprendiz,Aprendiz,Grünschnabel,Çaylak,Principiante
CHAL_ROOKIE_DESC,Die for the first time,Mourez pour la première fois,首次阵亡,初めて倒れる,최초의 죽음,首次陣亡,Погибните в первый раз.,Zgiń po raz pierwszy.,Muere por primera vez,Morra pela primeira vez.,Stirb zum ersten Mal.,İlk defa öl,Muori per la prima volta.
CHAL_LUMBERJACK,Lumberjack,Bûcheron,伐木工,木こり,나무꾼,伐木工人,Дровосек,Drwal,Tala masiva,Lenha,Holzfäller,Oduncu,Tagliaboschi
CHAL_LUMBERJACK_DESC,Kill {0} trees,Tuez {0} arbres,消灭{0}棵树木,木を {0} 本倒す,{0}개의 나무를 처치하십시오,殺死{0}棵樹木,Уничтожьте не менее {0} деревьев.,Zabij drzewa ({0}),Elimina {0} árboles,Elimine {0} árvores.,Töte {0} Bäume.,{0} ağaç öldür,Distruggi {0} alberi.
UNIQUE,Unique,Unique,独特的,個性的,독특한,獨特的,Уникальный,Unikalny,Único,Único,Einzigartige,Eşsiz,Unico
LIMITED,Limited ({0}),Limité ({0}),限制 ({0}),リミット({0}),한계 ({0}),限制 ({0}),Ограничение ({0}),Limit ({0}),Límite ({0}),Limite ({0}),Grenze ({0}),Sınırlı ({0}),Limitato ({0})
MENU_EXPLOSIONS,Explosions,Explosions,爆炸,爆発,폭발,爆炸,Взрывы,Eksplozje,Explosiones,Explosões,Explosionen,Patlama,Esplosioni
MENU_GOLD_SOUNDS,Change material sounds,Changer les sons des matériaux,改变材料的声音,素材の音を変える,재료 소리 변경,改變材料的聲音,Изменить звуки материалов,Zmień dźwięki materiałów,Cambiar sonidos de materiales,Alterar sons de materiais,Materialgeräusche ändern,Malzeme sesini değiştir,Cambia suono dei materiali
MENU_GENERAL,General,Général,一般设定,一般,일반,一般設定,Общие,Ogólne,General,Geral,Allgemein,Genel,Generali
MENU_KEEP_LOCK,Keep items locked,Garder les objets verrouillés,锁定物品,アイテムをロック状態にしておく,아이템 잠긴 채로 두기,保持道具的上鎖狀態,Оставить предметы закрепленными,Nie ściągaj blokady przedmiotów,Mantiene los objetos bloqueados,Manter itens travados,Items gesperrt lassen,Eşyaları kilitli tut,Mantieni blocco sugli oggetti
MENU_DARKEN_SCREEN,Screen darkening,Assombrissement de l'écran,屏幕变暗,画面減光,화면 어둡게 하기,畫面變暗,Затемнение экрана,Przyciemnianie ekranu,Oscurecimiento de la pantalla,Escurecimento de tela,Bildschirmverdunklung,Ekranı karart,Oscuramento schermo
MENU_BOSS_HP_BAR,HP bar on bosses,Barre de PV sur les boss,头目头顶显示血条,ボスのHPバー,보스 HP 바,頭目身上顯示HP條,Шкала ОЗ у боссов,Pasek PZ bossów,PS sobre jefes,Barra de PV nos chefes,LP-Leiste an Bossen,Bossların Sağlık göstergesi,Barra salute sui boss
MENU_MUTE_ON_FOCUS_LOST,Mute on losing focus,Sourdine en arrière-plan,窗口未置于最前方时静音,フォーカス喪失でミュート,집중을 잃을 때 뮤트,當窗口未置於最前方時靜音,Выкл. звук при смене окна,Wycisz po utracie koncentracji,Silencio al perder enfoque,Silenciar ao perder o foco.,Spiel bei inaktivem Spielfenster stummschalten,Odak kaybolunca ses kıs,Silenzia in background
MENU_PAUSE_ON_FOCUS_LOST,Pause on losing focus,Pause en arrière-plan,窗口未置于最前方时暂停,フォーカス喪失で一時停止,집중을 잃을 때 멈춤,當窗口未置於最前方時暫停音效,Пауза при смене окна,Wstrzymaj po utracie koncentracji,Pausa al perder enfoque,Pausar ao perder o foco.,Spiel bei inaktivem Spielfenster pausieren,Odak kaybolunca durdur,Sospendi in background
MENU_MANUAL_AIM_ON_MOUSE_PRESS,Manual Aim on mouse press,Clic enfoncé pour visée manuelle,按下鼠标时手动瞄准,マウスを押して手動照準,마우스 누를 시 수동 조준,按下滑鼠按鍵後變為手動瞄準,Целиться вручную при нажатии кнопки мыши,Celowanie ręczne po wciś. przyc. myszy,Apuntar manualmente al pulsar el ratón,Mira manual ao pressionar o mouse,Manuelles Zielen durch Mausklick,Fareye basınca Manuel Hedef Almaya geç,Clicca per mira manuale
MENU_RESOLUTION,Resolution,Résolution,分辨率,解像度,해상도,解析度,Разрешение,Rozdzielczość,Resolución,Resolução,Auflösung,Çözünürlük,Risoluzione
MENU_PROJECTILES_HIGHLIGHTING,Projectiles Highlighting,Surbrillance des projectiles,突显投射物,発射体のハイライト,발사체 강조,強調投射物,Подсветка снарядов,Podświetlenie pocisków,Resaltar proyectiles,Destaque de projéteis,Projektilhervorhebung,Roketleri Vurgulama,Evidenzia proiettili
CORRUPTED_SAVE,"Your save file was corrupted. A backup was used, some progress might have been lost.","Votre fichier de sauvegarde a été corrompu. Une sauvegarde antérieure a été utilisée, du progrès peut avoir été perdu.",存档已破损。已使用了备份存档，不过部分进度可能已丢失。,保存ファイルが破損しました。 バックアップが使用されましたが、一部の進捗状況が失われた可能性があります。,"세이브 파일이 손상되었습니다. 백업 파일이 사용되었으며, 일부 진행 상황이 손실되었을 수 있습니다.",你的存檔已經損壞。雖啟用了備用檔案，但部份的進度可能已經遺失。,"Ваш файл сохранения поврежден. Был использован резервный файл, часть прогресса может быть потеряна.",Twój plik zapisu został uszkodzony. Użyto pliku zapasowego. Część postępów mogła zostać utracona.,"Tu archivo de guardado estaba corrupto. Se ha usado una copia de seguridad, así que es posible que se haya perdido parte del progreso.","Seu jogo salvo está corrompido. Uma cópia de segurança foi carregada, mas pode haver perda de progresso.",Dein Spielstand ist fehlerhaft. Ein Back-up wurde genutzt. Ein Teil deines Fortschritts könnte verloren gegangen sein.,"Kayıt dosyası bozulmuş. Yedek kayıttan devam ediliyor, bazı ilerlemeler kaybolmuş olabilir.",Il file di salvataggio è danneggiato. È stato utilizzato un file di backup. Alcuni progressi di gioco potrebbero essere andati persi.
CORRUPTED_SAVE_LATEST,"Your save file was corrupted. A backup was used, the progress from your last session might have been lost.","Votre fichier de sauvegarde a été corrompu. Une sauvegarde antérieure a été utilisée, le progrès de votre dernière session peut avoir été perdu.",存档已破损。已使用了备份存档，不过最后游玩时候的部分进度可能已丢失。,保存ファイルが破損しました。 バックアップが使用されましたが、最初のセッションの進捗状況が失われた可能性があります。,"세이브 파일이 손상되었습니다. 백업 파일이 사용되었으며, 이전 세션의 진행 상황이 손실되었을 수 있습니다.",你的存檔已經損壞。雖啟用了備用檔案，但上一次的進度可能已經遺失。,"Ваш файл сохранения поврежден. Был использован резервный файл, прогресс за последний сеанс может быть потерян.",Twój plik zapisu został uszkodzony. Użyto pliku zapasowego. Postępy z ostatniej sesji gry mogły zostać utracone.,"Tu archivo de guardado estaba corrupto. Se ha usado una copia de seguridad, así que es posible que se haya perdido el progreso de tu última sesión.","Seu jogo salvo está corrompido. Uma cópia de segurança foi carregada, mas o progresso da última sessão pode ter sido perdido.",Dein Spielstand ist fehlerhaft. Ein Back-up wurde genutzt. Der Fortschritt deiner letzten Sitzung könnte verloren gegangen sein.,"Kayıt dosyası bozulmuş. Yedek kayıttan devam ediliyor, en son oynadığınızda kaydettiğiniz ilerlemeler kaybolmuş olabilir.",Il file di salvataggio è danneggiato. È stato utilizzato un file di backup. I progressi della sessione più recente potrebbero essere andati persi.
CORRUPTED_ALL_SAVES_STEAM,"All of your save files were corrupted. A save file has been recreated from your Steam achievements, some progress might have been lost.","Tous vos fichiers de sauvegarde ont été corrompus. Une sauvegarde a été recrée à partir de vos succès Steam, du progrès peut avoir été perdu.",所有存档已破损。已从您的Steam成就里重新创建了一个存档，不过部分进度可能已丢失。,保存ファイルが全て破損しました。Steamの実績から保存ファイルが再度作成されましたが、一部の進捗状況が失われた可能性があります。,"모든 세이브 파일이 손상되었습니다. 스팀 도전 과제로부터 세이브 파일이 재생성되었으며, 일부 진행 상황이 손실되었을 수 있습니다.",你所有的存檔都已損壞。雖已透過你Steam上的成就重建了一個新存檔，但部份的進度可能已經遺失。,"Все ваши файлы сохранения повреждены. Файл сохранения был воссоздан с учетом ваших достижений Steam, часть прогресса может быть потеряна.",Wszystkie twoje pliki zapisu zostały uszkodzone. Stworzono nowy plik zapisu na podstawie osiągnięć z platformy Steam. Część postępów mogła zostać utracona.,"Todos tus archivos de guardado estaban corruptos. Se ha creado una copia de seguridad con tus logros de Steam, así que es posible que se haya perdido parte del progreso.",Todos os seus jogos salvos estão corrompidos. Um jogo salvo foi recriado a partir de suas conquistas do Steam. Pode haver perda de progresso.,All deine Spielstände sind fehlerhaft. Auf Basis deiner Steam-Errungenschaften wurde ein Spielstand erstellt. Ein Teil deines Fortschritts könnte verloren gegangen sein.,"Tüm kayıt dosyaları bozulmuş. Steam başarımlarına göre yeni bir kayıt dosyası açıldı, bazı ilerlemeler kaybolmuş olabilir.",I tuoi file di salvataggio sono danneggiati. È stato creato un file di salvataggio a partire dagli achievement di Steam sbloccati. Alcuni progressi di gioco potrebbero essere andati persi.
CORRUPTED_ALL_SAVES_NO_STEAM,All of your save files were corrupted. Please launch the game from Steam so a save file can be recreated from your Steam achievements.,Tous vos fichiers de sauvegarde ont été corrompus. Veuillez lancer le jeu depuis Steam pour qu’une sauvegarde puisse être recréée à partir de vos succès Steam.,所有存档已破损。请在Steam上启动游戏，以便从您的Steam成就里重新创建了一个存档。,保存ファイルが全て破損しました。Steamからゲームを起動して、Steamの実績から保存ファイルを再度作成できるようにしてください。,모든 세이브 파일이 손상되었습니다. 스팀으로 게임을 시작하여 세이브 파일이 스팀 도전 과제로부터 재생성 될 수 있게 하십시오.,你所有的存檔都已損壞。請從Steam重新啟動遊戲，以便透過Steam上的成就重建一個新存檔。,"Все ваши файлы сохранения повреждены. Запустите игру в Steam, чтобы можно было воссоздать файл сохранения с учетом ваших достижений Steam.","Wszystkie twoje pliki zapisu zostały uszkodzone. Uruchom Steam, aby możliwe było stworzenie nowe plik zapisu na podstawie zdobytych osiągnięć.",Todos tus archivos de guardado estaban corruptos. Inicia el juego desde Steam para que podamos crear una copia de seguridad con tus logros de Steam.,Todos os seus jogos salvos estão corrompidos. Inicie o jogo pelo Steam para que um jogo salvo seja recriado a partir de suas conquistas.,"All deine Spielstände sind fehlerhaft. Bitte starte das Spiel über Steam, damit auf Basis deiner Steam-Errungenschaften ein Spielstand erstellt werden kann.",Tüm kayıt dosyaları bozulmuş. Steam başarımlarına göre yeni bir kayıt dosyası açılması için oyun Steam üzerinden başlatılmalı.,I tuoi file di salvataggio sono danneggiati. Avvia il gioco da Steam per creare un file di salvataggio a partire dagli achievement sbloccati.
EFFECT_ELITES,Elites and hordes appear,Des élites et des hordes apparaissent,精英怪和敌群出现,精鋭兵と大群が現れる,엘리트와 적 무리 등장,菁英怪跟大浪級敵襲出現了,Появляются орды и элита,Pojawiają się potwory elitarne i hordy,Aparecen élites y hordas,Aparecimento de elites e hordas.,Elitegegner und Horden erscheinen,Elit ve kavimler ortaya çıkıyor,Appaiono orde e miniboss.
EFFECT_MORE_ELITES,More elites and hordes appear,Plus d’élites et de hordes apparaissent,更多的精英怪和敌群出现,さらに多くの精鋭兵と大群が現れる,더 많은 엘리트와 적 무리 등장,更多的菁英怪跟大浪級敵襲出現了,Появляется больше орд и элиты,Pojawia się więcej potworów elitarnych i hord,Aparecen más élites y hordas,Aparecimento de mais elites e hordas.,Mehr Elitegegner und Horden erscheinen,Daha fazla elit ve kavimler ortaya çıkıyor,Appaiono più orde e miniboss.
CHARACTER_HUNTER,Hunter,Chasseur,猎人,ハンター,사냥꾼,獵人,Охотник,Łowca,Cazador,Caçador,Jäger,Avcı,Cacciatore
CHARACTER_ARTIFICER,Artificer,Artificier,技工,技術兵,장인,發明家,Ремесленник,Rzemieślnik,Artífice,Artífice,Werkmeister,Zanaatkâr,Artificiere
ITEM_EXPLOSIVE_SHELLS,Explosive Shells,Obus Explosifs,爆裂弹,炸裂弾,폭발성 껍데기,爆裂彈,Разрывные патроны,Wybuchające pociski,Munición explosiva,Projéteis Explosivos,Explosivgeschosse,Patlayıcı Mermi,Granate esplosive
CHAL_FIREWORKS,Fireworks,Feux d’Artifice,烟花,砲撃,폭죽,煙火,Фейерверки,Fajerwerki,Fuegos artificiales,Fogos de Artifício,Feuerwerk,Havai Fişek,Fuochi d'artificio
CHAL_FIREWORKS_DESC,Kill {0} enemies with a single explosion,Tuez {0} ennemis avec une seule explosion,使用单次爆炸击杀{0}名敌人,1回の爆発で、{0}人の敵を撃破,한 번의 폭발로 {0}만큼의 적을 처치하세요,單次爆炸就殺死{0}個敵人,Убейте не менее {0} врагов одним взрывом,Zabij wrogów ({0}) w ramach jednego wybuchu,Mata a {0} enemigos de una sola explosión,Elimine {0} inimigos com uma única explosão.,Töte mit einer einzigen Explosion {0} Gegner.,Tek bir patlama ile {0} düşman öldür,Uccidi {0} nemici con una sola esplosione.
CHAL_PERFECT_VISION,Perfect Vision,Vision Parfaite,完美眼力,パーフェクトビジョン,완벽한 시야,完美眼力,Идеальное зрение,Wzrok idealny,Visión perfecta,Visão Perfeita,Perfekte Sehkraft,Kusursuz Görüş,Vista perfetta
WEAPON_CROSSBOW,Crossbow,Arbalète,十字弓,クロスボウ,석궁,十字弓,Арбалет,Kusza,Ballesta,Besta,Armbrust,Arbalet,Balestra
EFFECT_PIERCE_ON_CRIT,Pierces up to {0} times on critical hit,Perfore jusque {0} fois en cas de coup critique,暴击时最多能贯通{0}次,クリティカルヒットで最大 {0} 回突き刺す,치명타 공격 시 최대 {0}번까지 관통,爆擊時最多能貫通{0}次,Пробивание до {0} раз при критическом ударе.,Po trafieniu krytycznym przebija do {0} razy,Penetra hasta {0} veces con un golpe crítico,Até {0} perfurações em acertos críticos.,Durchdringt bei kritischen Treffern bis zu {0} Mal,Kritik vuruş {0} kere delici hasar verir,Perfora fino a {0} volte quando infliggi un colpo critico.
WEAPON_SNIPER_GUN,Sniper Gun,Pistolet Sniper,狙击手枪,スナイパー銃,저격총,狙擊手槍,Снайперский пистолет,Pistolet snajperski,Arma de francotirador,Arma de Atirador,Sniperpistole,Keskin Nişancı Tüfeği,Pistola di precisione
ELITE_APPEARING,An elite will appear on wave {0},Un élite va apparaître à la vague {0},一个精英怪会出现在第{0}波敌袭,波{0}で精鋭兵が現れる,웨이브 {0}에 엘리트가 나타납니다,第{0}波時將出現菁英怪,Элита появится во время волны {0},Wraz z falą {0} pojawi się potwór elitarny,Aparecerá un élite en la oleada {0},Um elite aparecerá na onda {0},Ein Elitegegner wird in Welle {0} erscheinen,{0}. Hücum sırasında bir elit gelecek,Un miniboss comparirà all'ondata {0}.
HORDE_APPEARING,A horde will appear on wave {0},Une horde va apparaître à la vague {0},一众敌群会出现在第{0}波敌袭,波{0}で大群が現れる,웨이브 {0}에 적 무리가 나타납니다,第{0}波時將出現大浪級敵襲,Орда появится во время волны {0},Wraz z falą {0} pojawi się horda,Aparecerá una horda en la oleada {0},Uma horda aparecerá na onda {0},Eine Horde wird in Welle {0} erscheinen,{0}. Hücum sırasında bir kavim gelecek,Un'orda comparirà all'ondata {0}.
ITEM_GRINDS_MAGICAL_LEAF,Grind's Magical Leaf,Feuille Magique de Grind,Grind的魔法绿叶,グラインドの魔法の葉,그라인드의 마법 잎사귀,Grind的魔法葉片,Волшебный лист Grind,Magiczny Liść Grinda,Hoja mágica de Grind,Folha Mágica de Grind,Grinds magisches Blatt,Grind'in Büyülü Yaprağı,Foglia magica di Grind
EFFECT_ADD_ALL_STATS_END_OF_WAVE,{0} to all stats at the end of a wave,{0} à toutes les statistiques à la fin d'une vague,敌袭结束后所有属性+{0},波の終わりに全ステータスに {0},웨이브가 끝날 때 모든 능력치에 {0},當敵襲結束時所有數值都{0},{0} ко всем показателям в конце волны.,{0} do wszystkich statystyk na koniec fali,{0} a todas las estadísticas al final de una oleada,{0} em todos os atributos ao fim de uma onda.,{0} für alle Werte am Ende einer Welle,Hücum sonunda tüm istatistikler {0} artar,{0} a tutti i parametri alla fine di un'ondata.
WEAPON_CLASS_MEDIEVAL,Medieval,Médiéval,中世纪,中世,중세,中世紀,Средневековое,Średniowieczny,Medieval,Medieval,Mittelalterlich,Orta çağ,Medievale
WEAPON_PLANK,Plank,Planche,木板,板,널빤지,木板,Доска,Deska,Tablón,Tábua,Brett,Kalas,Asse
DAMAGE_DEALT_LAST_WAVE,This weapon has dealt {0} damage during the last wave,Cette arme a infligé {0} dégâts durant la dernière vague,这个武器在上一波敌袭中造成了{0}伤害,最後の波でこの武器は{0}ダメージ与えた,이 무기는 이전 웨이브 동안 {0} 대미지를 가했습니다,這把武器在最後一波敵襲中造成了{0}的傷害,Это оружие нанесло {0} ед. урона за последнюю волну.,Podczas ostatniej fali zadano {0} pkt. obrażeń tą bronią,Esta arma ha causado {0} de daño durante la última oleada,Esta arma causou {0} de dano durante a última onda.,Diese Waffe hat während der letzten Welle {0} Schaden verursacht.,Bu silah son hücumda {0} hasar verdi,Quest'arma ha inflitto {0} danni durante l'ultima ondata.
ITEM_TARDIGRADE,Tardigrade,Tardigrade,水熊虫,クマムシ,완보동물,水熊蟲,Тихоходка,Niesporczak,Tardígrado,Tardígrado,Bärtierchen,Tardigrada,Tardigrado
ITEM_STRANGE_BOOK,Strange Book,Livre Étrange,奇怪之书,奇妙な本,이상한 책,奇異之書,Странная книга,Dziwna Książka,Libro extraño,Livro Estranho,Seltsames Buch,Tuhaf Kitap,Libro strano
EFFECT_HIT_PROTECTION,Nullifies the damage of one hit taken every wave,Annule les dégâts d’un coup reçu à chaque vague,在每一波敌袭中会抵消受到的攻击伤害,波毎に1ヒット分のダメージを無効化する,웨이브마다 받는 타격 한 번의 대미지를 무효화합니다,每波敵襲都可以無效一次傷害,Обнуляет урон одного удара за волну.,Neutralizuje obrażenia zadane przez jedno trafienie w każdej fali,"Cada oleada, anula el daño de un golpe que recibas",Anula o dano de um ataque recebido a cada onda.,Hebt den erlittenen Schaden von einem Treffer pro Welle auf.,Her hücumda alınan bir darbenin hasarını sıfırlar,Annulla i danni ricevuti da un singolo colpo per ondata.
NULLIFIED,Nullified,Annulé,抵消,無効化,무효화됨,無效,Обнуление,Zneutralizowane,Anulado,Anulado,Aufgehoben,Sıfırlanan,Annullato
ITEM_POTION,Regeneration Potion,Potion de Régénération,再生药水,回復ポーション,재생 물약,再生藥水,Зелье регенерации,Mikstura Regeneracji,Poción de recuperación,Poção de Recuperação,Regenerationstrank,Sağlık Yenileme İksiri,Pozione del recupero
EFFECT_DOUBLE_HP_REGEN_BELOW_HALF_HEALTH,HP Regeneration is doubled when you have less than 50% health,La régénération de PV est doublée lorsque vous avez moins de 50% points de vie,当生命值低于50%时，生命再生双倍,HPが50%以下の時、HP回復量が2倍になる,체력이 50%보다 낮으면 HP 재생이 두배가 됩니다,當生命值低於50%時，HP再生效果加倍,"Регенерация ОЗ удваивается, когда у вас меньше 50% здоровья.","Regeneracja PZ jest podwojona, jeśli masz mniej niż 50% zdrowia",La recuperación de PS se duplica cuando tu salud esté por debajo del 50 %.,Duplica a recuperação de PV ao chegar a menos de 50% de vida.,"Die LP-Regeneration wird verdoppelt, wenn du weniger als 50 % Leben hast.",Sağlığın %50'den az ise Sağlık Yenileme hızı iki katına çıkar,"Quando i tuoi PS scendono al di sotto del 50%, la velocità di recupero della salute raddoppia."
ITEM_ANVIL,Anvil,Enclume,铁砧,アンビル,모루,鐵砧,Наковальня,Kowadło,Yunque,Bigorna,Amboss,Örs,Incudine
EFFECT_UPGRADE_RANDOM_WEAPON,"A random weapon is upgraded when entering a shop. If you have no weapon to upgrade, you gain {0} {1} instead.","Une arme aléatoire est améliorée lorsque vous entrez dans une boutique. Si vous n’avez pas d’arme à améliorer, vous gagnez {0} {1} à la place.",进入商店时，会随机升级一把武器。如果无武器可升级，则可获得{0}{1}。,ショップに入るとランダムな武器がアップグレードされる。アップグレードする武器を持っていない時は、代わりに {0} {1}を得る。,"상점에 들어갈 때 랜덤한 무기가 업그레이드됩니다. 업그레이드할 무기가 없다면, 대신 {0} {1} 얻습니다.",當進入商店時會隨機升級武器。如果沒有武器能升級的話，改為獲得{0} {1}。,"При входе в магазин случайное оружие улучшается. Если у вас нет оружия, которое можно улучшить, вместо этого вы получаете: {0} {1}.","Po wejściu do sklepu losowa broń zostaje ulepszona. Jeśli nie masz broni, którą dałoby się ulepszyć, zamiast tego dostajesz {0} {1}.","Mejora un arma al azar al entrar en una tienda. Si no tienes armas que mejorar, recibes {0} {1} en su lugar.","Uma arma aleatória é melhorada ao entrar em uma loja. Se não tiver armas para melhorar, você ganha {0} {1}.","Beim Betreten eines Ladens wird eine zufällige Waffe verbessert. Wenn du keine Waffe zum Aufwerten hast, erhältst du stattdessen: {0} {1}.",Dükkâna girince rastgele bir silah yükseltilir. Yükseltilecek silahın yoksa {0} {1} kazanırsın.,"Quando entri in un negozio, un'arma a caso viene migliorata. Se non ci sono armi da migliorare, ottieni {0} {1}."
CHARACTER_ARMS_DEALER,Arms Dealer,Marchand d’Armes,军火商,武器商人,무기거래상,軍火商,Торговец оружием,Handlarz Bronią,Traficante de armas,Comerciante de Armas,Waffenhändler,Silah Satıcısı,Mercante d'armi
WEAPONS_PRICE,Weapons Price,Prix des Armes,武器价格,武器の価格,무기 가격,武器價格,Цена оружия,Cena broni,Precio de armas,Preço das armas,Waffenpreis,Silah Fiyatı,Prezzo delle armi
EFFECT_MINIMUM_WEAPON_IN_SHOP,Shops always sell at least one weapon,Les boutiques vendent toujours au moins une arme,商店通常销售至少一把武器,ショップが必ず最低一個の武器を販売,상점은 항상 최소 1개 무기를 판매합니다,商店將隨時販賣至少一件武器,В магазинах всегда есть хотя бы одно оружие.,Sklep zawsze ma w ofercie co najmniej 1 broń,Las tiendas siempre venden al menos un arma,As lojas sempre vendem pelo menos uma arma.,Läden verkaufen immer mindestens eine Waffe.,Dükkânlarda en az bir silah satılır,I negozi vendono sempre almeno un'arma.
EFFECT_MINIMUM_WEAPONS_IN_SHOP,Shops always sell at least {0} weapons,Les boutiques vendent toujours au moins {0} armes,商店通常销售至少{0}把武器,ショップでは常に、少なくとも{0}個の武器が売られています,상점은 항상 최소 {0}개 무기를 판매합니다,商店將隨時販賣至少{0}件武器,В магазинах всегда есть оружие (хотя бы {0}).,Sklep zawsze ma w ofercie co najmniej {0} szt. broni,Las tiendas siempre venden al menos {0} armas,As lojas sempre vendem pelo menos {0} armas.,Läden verkaufen immer mindestens {0} Waffen.,Dükkânlarda en az {0} silah satılır,I negozi vendono sempre almeno {0} armi.
EFFECT_DESTROY_WEAPONS,All of your weapons are destroyed when entering a shop,Toutes vos armes sont détruites lorsque vous entrez dans une boutique,进入商店后，所有武器都会遭到破坏,ショップに入ると、武器がすべて破壊される,상점에 들어가면 모든 무기가 파괴됩니다,當進入商店時，就會銷毀你所有的武器,При входе в магазин все ваше оружие уничтожается.,Wszystkie twoje bronie zostają zniszczone po wejściu do sklepu,Todas tus armas se destruyen al entrar en una tienda,Toda as suas armas são destruídas ao entrar em uma loja.,Beim Betreten eines Ladens werden alle deine Waffen zerstört.,Dükkâna girince tüm silahların yok edilir,"Quando entri in un negozio, tutte le tue armi vengono distrutte."
CHAL_RECYCLING,Recycling,Recyclage,回收,リサイクル,재활용,資源回收,Разборка,Recykling,Reciclaje,Reciclagem,Verwerten,Geri Dönüştürme,Riciclaggio
CHAL_RECYCLING_DESC,Recycle {0} weapons during a run,Recyclez {0} armes durant une partie,在比赛期间回收{0}把武器,疾走中{0}この武器をリサイクルする,달리기 동안 {0}개 무기를 재활용합니다,比賽期間回收{0}把武器,Разобрать оружие во время забега: {0}.,Poddaj recyklingowi następującą liczbę broni w jednej rozgrywce: {0},Recicla {0} armas durante una partida,Recicle {0} armas em uma partida.,Verwerte in einem Durchlauf {0} Waffen.,Bir koşu sırasında {0} silah geri dönüştür,Ricicla {0} armi durante una partita.
CHARACTER_STREAMER,Streamer,Streameur,网络主播,ストリーマー,스트리머,實況主,Стример,Streamer,Streamer,Streamer,Streamer,Yayıncı,Streamer
CHAL_SLOW,Slow,Lent,减速,スロー,느림,減速,Замедление,Powoli,Lentitud,Lentidão,Langsam,Yavaş,Lentezza
ITEM_COMMUNITY_SUPPORT,Community Support,Support de la Communauté,社区支持,コミュニティサポート,커뮤니티 지원,社群平台輔助,Поддержка сообщества,Wsparcie Społeczności,Apoyo de la comunidad,Suporte à Comunidade,Community-Support,Topluluk Desteği,Sostegno della community
STRUCTURE,Structure,Structure,构筑物,構造物,구조,結構物,Постройка,Struktura,Estructura,Estrutura,Konstruktion,Yapı,Struttura
PRIMARY,Primary,Primaire,主要,プライマリー,기본적인,主要,Основное,Główne,Principal,Primário,Primär,Birincil,Primario
SECONDARY,Secondary,Secondaire,次要,セカンダリー,2차적인,次要,Вторичное,Drugorzędne,Secundaria,Secundário,Sekundär,İkincil,Secondario
PICKUP_RANGE,% Pickup Range,% Portée d’attraction,%拾取范围,ピックアップ範囲%,% 획득 범위,%撿拾範圍,% дальности сбора,% zasięgu podnoszenia,% de alcance de recogida,% de alcance de coleta,% Sammelreichweite,% Toplama Menzili,% di raggio di raccolta
CONSUMABLE_HEAL,Consumable Heal,Soin des consommables,消耗性治疗,消耗回復,소모품 치료,消耗品治癒,Потребляемое лечение,Znajdźka lecząca,Curación consumible,Cura consumível,Heilung durch Verbrauchsgegenstände,Tüketilebilirlerle Yenilenen Sağlık,PS dai consumabili
BURNING_COOLDOWN_REDUCTION,% Burning Speed,% Rapidité des brûlures,%燃烧速度,燃焼スピード%,% 화상 속도,%燃燒速度,% скорости горения,% szybkości płonięcia,% de vel. de quemadura,% de velocidade de queimadura,% Brandtempo,% Yanma Hızı,% di velocità delle bruciature
BURNING_SPREAD,Burning Spread,Propagation des brûlures,燃烧速度,燃焼スピード,화상 속도,燃燒蔓延,Распространение огня,Szybkość płonięcia,Propagación de quemadura,Espalhamento de queimadura,Brandreichweite,Yanma Yayılması,Propagazione delle bruciature
CHANCE_DOUBLE_GOLD,% Double Material Chance,% Chance de matériaux doubles,%几率获得双倍材料,材料倍量の確率%,% 재료 두배 확률,%雙倍素材機率,% шанса удвоения материалов,% szans na podwójne materiały,% de prob. de materiales x2,% de chance de dobrar materiais,% Chance auf doppelte Materialien,% İki Katı Malzeme Düşme Olasılığı,% di prob. raddoppio materiali
